CPU usage during test runs:

--- CPU stats for 4 threads ---
Linux 6.8.0-57-generic (artem-XENIA-15) 	13.04.2025 	_x86_64_	(16 CPU)

16:54:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:54:35     all   28,15    0,00    2,39    0,00    0,00    0,06    0,00    0,00    0,00   69,40
16:54:36     all   38,37    0,00    2,02    0,00    0,00    0,13    0,00    0,00    0,00   59,48
16:54:37     all   11,08    0,00    1,39    0,00    0,00    0,00    0,00    0,00    0,00   87,53
16:54:38     all   10,08    0,00    1,39    0,06    0,00    0,19    0,00    0,00    0,00   88,28
16:54:39     all    6,42    0,00    2,42    0,06    0,00    0,00    0,00    0,00    0,00   91,10
16:54:40     all   15,78    0,00    0,82    0,00    0,00    0,06    0,00    0,00    0,00   83,34
16:54:41     all    3,85    0,00    0,57    0,00    0,00    0,13    0,00    0,00    0,00   95,46
16:54:42     all    2,67    0,00    0,32    0,00    0,00    0,06    0,00    0,00    0,00   96,95
16:54:43     all    2,84    0,00    0,82    0,00    0,00    0,00    0,00    0,00    0,00   96,34
16:54:44     all    9,19    0,00    1,26    0,00    0,00    0,00    0,00    0,00    0,00   89,55
16:54:45     all    1,39    0,00    0,63    0,00    0,00    0,00    0,00    0,00    0,00   97,98
16:54:46     all    2,01    0,00    0,57    0,00    0,00    0,00    0,00    0,00    0,00   97,42
16:54:47     all   18,49    0,00    1,14    0,00    0,00    0,06    0,00    0,00    0,00   80,32
16:54:48     all   30,74    0,00    1,89    0,00    0,00    0,06    0,00    0,00    0,00   67,32
16:54:49     all   19,41    0,00    1,83    0,00    0,00    0,13    0,00    0,00    0,00   78,64
16:54:50     all    1,51    0,00    0,50    0,00    0,00    0,13    0,00    0,00    0,00   97,86
16:54:51     all    2,96    0,00    0,76    0,00    0,00    0,00    0,00    0,00    0,00   96,28
16:54:52     all    3,08    0,00    1,07    0,00    0,00    0,06    0,00    0,00    0,00   95,79
16:54:53     all    2,07    0,00    0,81    0,00    0,00    0,06    0,00    0,00    0,00   97,06
16:54:54     all    1,69    0,00    1,13    0,00    0,00    0,06    0,00    0,00    0,00   97,12
16:54:55     all    1,45    0,00    0,63    0,00    0,00    0,00    0,00    0,00    0,00   97,92
16:54:56     all    1,63    0,00    0,63    0,00    0,00    0,00    0,00    0,00    0,00   97,74
16:54:57     all   32,06    0,00    4,92    0,06    0,00    0,43    0,00    0,00    0,00   62,54
16:54:58     all   82,82    0,00    7,04    0,00    0,00    2,09    0,00    0,00    0,00    8,05
16:54:59     all   81,46    0,00    8,70    0,00    0,00    3,03    0,00    0,00    0,00    6,81
16:55:00     all   79,15    0,00    7,78    0,00    0,00    3,89    0,00    0,00    0,00    9,18
16:55:01     all   43,34    0,00    9,98    0,00    0,00    4,31    0,00    0,00    0,00   42,37
16:55:02     all   37,22    0,00   10,69    0,00    0,00    4,50    0,00    0,00    0,00   47,59
16:55:03     all   31,61    0,00   10,32    0,00    0,00    4,38    0,00    0,00    0,00   53,69
16:55:04     all   37,31    0,00   10,63    0,00    0,00    4,04    0,00    0,00    0,00   48,01
