CPU usage during test runs:

--- CPU stats for 4 threads ---
Linux 6.8.0-57-generic (artem-XENIA-15) 	13.04.2025 	_x86_64_	(16 CPU)

15:46:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:46:22     all   55,51    0,00    4,62    0,32    0,00    0,58    0,00    0,00    0,00   38,97
15:46:23     all   74,49    0,00    4,39    0,06    0,00    1,21    0,00    0,00    0,00   19,85
15:46:24     all   75,54    0,00    5,56    0,00    0,00    1,66    0,00    0,00    0,00   17,24
15:46:25     all   51,86    0,00    6,42    0,00    0,00    2,37    0,00    0,00    0,00   39,35
15:46:26     all   21,89    0,06    7,19    0,00    0,00    2,50    0,00    0,00    0,00   68,36
15:46:27     all   19,38    0,00    6,72    0,00    0,00    2,71    0,00    0,00    0,00   71,19
15:46:28     all   20,89    0,00    6,75    0,00    0,00    2,44    0,00    0,00    0,00   69,92
15:46:29     all   21,25    0,00    6,57    0,00    0,00    2,64    0,00    0,00    0,00   69,54
15:46:30     all   19,92    0,00    6,45    0,00    0,00    2,97    0,00    0,00    0,00   70,66
15:46:31     all   21,74    0,00    7,94    0,06    0,00    2,58    0,00    0,00    0,00   67,68
15:46:32     all   21,70    0,00    6,80    0,00    0,00    2,66    0,00    0,00    0,00   68,85
15:46:33     all   21,98    0,00    6,66    0,00    0,00    2,65    0,00    0,00    0,00   68,71
15:46:34     all   22,22    0,00    6,83    0,00    0,00    2,58    0,00    0,00    0,00   68,38
15:46:35     all   20,73    0,00    6,61    0,00    0,00    2,76    0,00    0,00    0,00   69,90
15:46:36     all   21,18    0,00    7,60    0,00    0,00    2,64    0,00    0,00    0,00   68,58
15:46:37     all   19,68    0,00    6,39    0,00    0,00    2,90    0,00    0,00    0,00   71,03
15:46:38     all   20,81    0,00    5,97    0,00    0,00    3,02    0,00    0,00    0,00   70,20
15:46:39     all   19,73    0,00    7,30    0,06    0,00    2,75    0,00    0,00    0,00   70,15
15:46:40     all   20,05    0,00    6,30    0,00    0,00    2,63    0,00    0,00    0,00   71,02
15:46:41     all   20,36    0,00    6,83    0,00    0,00    2,58    0,00    0,00    0,00   70,23

--- CPU stats for 8 threads ---
Linux 6.8.0-57-generic (artem-XENIA-15) 	13.04.2025 	_x86_64_	(16 CPU)

15:46:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:46:42     all   67,60    0,00   11,25    0,00    0,00    3,71    0,00    0,00    0,00   17,44
15:46:43     all   43,20    0,00   12,62    0,00    0,00    4,73    0,00    0,00    0,00   39,45
15:46:44     all   47,44    0,00   13,70    0,00    0,00    5,18    0,00    0,00    0,00   33,68
15:46:45     all   40,58    0,00   13,25    0,00    0,00    5,13    0,00    0,00    0,00   41,04
15:46:46     all   55,04    0,07   15,12    0,00    0,00    4,52    0,00    0,00    0,00   25,26
15:46:47     all   44,68    0,00   13,72    0,00    0,00    4,96    0,00    0,00    0,00   36,64
15:46:48     all   39,51    0,00   13,13    0,00    0,00    4,88    0,00    0,00    0,00   42,48
15:46:49     all   39,63    0,00   12,84    0,00    0,00    5,02    0,00    0,00    0,00   42,50
15:46:50     all   39,38    0,00   12,56    0,00    0,00    4,87    0,00    0,00    0,00   43,20
15:46:51     all   43,45    0,00   14,92    0,00    0,00    4,99    0,00    0,00    0,00   36,64
15:46:52     all   42,76    0,00   15,38    0,00    0,00    5,02    0,00    0,00    0,00   36,83
15:46:53     all   39,66    0,00   12,83    0,00    0,00    5,37    0,00    0,00    0,00   42,15
15:46:54     all   39,20    0,00   12,45    0,00    0,00    4,87    0,00    0,00    0,00   43,48
15:46:55     all   40,42    0,00   13,17    0,00    0,00    5,22    0,00    0,00    0,00   41,20
15:46:56     all   46,25    0,00   14,17    0,00    0,00    4,92    0,00    0,00    0,00   34,67
15:46:57     all   42,16    0,00   14,77    0,00    0,00    5,29    0,00    0,00    0,00   37,78
15:46:58     all   40,04    0,00   12,49    0,00    0,00    4,67    0,00    0,00    0,00   42,80
15:46:59     all   39,32    0,00   13,04    0,00    0,00    5,05    0,00    0,00    0,00   42,60
15:47:00     all   38,91    0,00   13,60    0,00    0,00    5,04    0,00    0,00    0,00   42,45
15:47:01     all   39,97    0,00   12,45    0,00    0,00    4,91    0,00    0,00    0,00   42,66

--- CPU stats for 12 threads ---
Linux 6.8.0-57-generic (artem-XENIA-15) 	13.04.2025 	_x86_64_	(16 CPU)

15:47:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:47:02     all   51,29    0,00   17,01    0,00    0,00    6,62    0,00    0,00    0,00   25,08
15:47:03     all   55,91    0,00   18,88    0,00    0,00    7,13    0,00    0,00    0,00   18,09
15:47:04     all   54,61    0,00   18,29    0,00    0,00    7,21    0,00    0,00    0,00   19,89
15:47:05     all   54,53    0,00   18,38    0,00    0,00    7,11    0,00    0,00    0,00   19,99
15:47:06     all   54,80    0,00   18,99    0,00    0,00    7,28    0,00    0,00    0,00   18,93
15:47:07     all   56,66    0,00   18,78    0,00    0,00    7,35    0,00    0,00    0,00   17,20
15:47:08     all   56,52    0,00   18,46    0,00    0,00    7,41    0,00    0,00    0,00   17,60
